name,price,length,width,handle,static_wgt,swing_wgt,twist_wgt,balance,power,pop,spin,price_q,length_q,width_q,handle_q,static_wgt_q,swing_wgt_q,twist_wgt_q,balance_q,power_q,pop_q,spin_q,embed_x,embed_y
11Six24 Hurache Control 16mm,79.99,16.5,7.5,5.5,7.4,106.0,5.55,23.7,53.8,34.6,2107,0,3,1,1,0,0,0,1,0,0,2,10.033354,4.6249065
11Six24 Hurache-X Control 16mm,139.99,16.5,7.5,6.0,8.2,119.0,6.4,24.1,56.6,35.7,1847,0,3,1,2,3,3,2,3,2,1,0,11.428907,3.9705899
11Six24 Hurache-X Control+ 14mm,139.99,16.5,7.5,6.0,8.2,115.4,6.15,23.9,56.9,36.8,2203,0,3,1,2,3,2,1,2,2,3,3,10.823533,2.8945549
11Six24 Hurache-X Control+ 16mm,149.9,16.5,7.5,6.0,8.0,117.4,6.3,24.2,56.8,36.1,1956,0,3,1,2,1,3,2,3,2,2,0,11.255361,3.667846
11Six24 Hurache-X Jelly Bean 16mm,99.99,16.46,7.52,6.0,8.2,122.6,6.31,24.6,57.0,36.4,2206,0,2,2,2,3,4,2,4,2,2,3,11.385281,2.9392822
11Six24 Hurache-X Power 16mm,169.99,16.5,7.5,6.0,8.1,115.2,6.21,23.7,58.3,36.9,2157,1,3,1,2,2,2,2,1,4,3,2,10.746752,2.7379854
11Six24 Monarch All Court 16mm,139.99,15.8,8.2,5.75,8.2,111.2,7.36,23.6,57.5,35.5,2131,0,0,4,2,3,1,4,1,3,1,2,5.9741206,5.025705
11Six24 Monarch Control 16mm,149.99,15.8,8.2,5.75,8.2,110.2,7.37,23.4,56.6,35.8,2051,0,0,4,2,3,1,4,0,2,1,1,6.037477,5.0454264
11Six24 Monarch Jelly Bean 16mm,99.99,15.8,8.2,5.75,7.9,107.2,7.09,23.7,55.0,34.3,2209,0,0,4,2,1,0,4,1,0,0,3,5.43526,4.856077
11Six24 Pegasus All Court 16mm,149.99,15.87,8.11,5.5,8.3,115.1,7.5,23.9,57.5,36.3,2132,0,0,4,1,4,2,4,2,3,2,2,6.280603,4.6648993
11Six24 Pegasus Power 16mm,169.99,15.8,8.2,5.75,8.3,112.7,7.62,23.4,57.7,37.1,2180,1,0,4,2,4,1,4,0,3,3,3,6.3025613,4.756176
11Six24 Vapor Alpha Pro Power 16mm,199.0,16.22,7.8,5.5,8.0,112.5,6.75,23.7,58.2,36.6,2198,2,1,3,1,1,1,3,1,4,3,3,7.68919,3.2862098
11Six24 Vapor Jelly Bean 16mm,99.99,16.18,7.76,5.5,8.0,115.0,6.8,24.2,56.5,35.2,2198,0,1,3,1,1,2,3,3,1,0,3,8.487801,3.9454298
11Six24 Vapor Power 16mm,169.99,16.2,7.8,5.75,8.2,115.8,7.01,23.9,58.2,37.0,2174,1,1,3,2,3,2,4,2,4,3,3,7.7395353,3.5622509
Ace Heart 14mm,189.99,16.5,7.5,5.5,7.8,115.7,5.8,24.3,56.9,35.3,2260,2,3,1,1,0,2,0,3,2,1,4,10.148613,3.5335183
Adidas Metalbone 14.5 (Polypropylene) 14mm,229.0,16.42,7.52,5.5,8.4,113.5,5.39,23.6,58.0,36.9,2232,3,2,2,1,4,1,0,1,3,3,3,9.905238,2.3511984
Adidas Metalbone 16 (Polypropylene) 16mm,249.0,16.42,7.52,5.5,8.6,128.7,6.29,24.8,58.1,36.6,2183,3,2,2,1,4,4,2,4,4,3,3,11.965975,2.3853817
Adidas Metalbone LP S (Red EVA) 16mm,249.0,16.42,7.52,5.5,8.7,125.9,5.88,24.4,59.3,38.3,2107,3,2,2,1,4,4,1,3,4,4,2,11.209512,1.3344725
Adidas Metalbone LP Team (Blue EVA) 16mm,209.0,16.42,7.52,5.5,8.0,115.2,5.25,24.3,58.4,38.1,2134,3,2,2,1,1,2,0,3,4,4,2,10.411423,1.4230628
Aiso Ryu 15mm,99.99,15.9,8.2,5.3,8.0,111.5,7.87,23.5,56.2,36.4,2152,0,0,4,1,1,1,4,1,1,2,2,5.831993,4.611418
Avoura Rhapsody 13 13mm,225.0,15.67,8.31,5.25,8.0,102.6,7.17,23.0,56.8,36.3,2225,3,0,4,0,1,0,4,0,2,2,3,5.3476377,4.2149153
Babolat WZRD 20mm,219.0,15.79,7.83,5.0,8.6,109.7,6.44,22.7,55.4,34.5,2192,3,0,3,0,4,1,2,0,0,0,3,4.938213,4.573257
Bird Ball Hawk Classic 14mm,199.0,16.0,8.0,4.75,7.9,106.0,7.05,23.5,52.6,33.1,2099,2,0,3,0,1,0,4,1,0,0,1,4.6140113,4.499044
Body Helix X4 Gold Kevlar 16mm,140.0,16.25,7.75,5.4,8.1,115.9,6.55,24.1,57.5,36.2,2281,0,1,3,1,2,2,3,3,3,2,4,8.278107,3.671771
Bread & Butter Fat Boy 16mm,189.99,15.9,8.1,5.3,8.0,107.8,7.11,23.5,55.7,36.6,2069,2,0,4,1,1,0,4,1,0,3,1,5.5998025,4.273278
Bread & Butter Filth 16mm,165.0,16.5,7.38,5.5,7.9,121.0,6.2,24.2,56.6,36.3,2025,1,3,0,1,1,4,2,3,2,2,1,11.332049,3.6523316
Bread & Butter Filth Hybrid 16mm,165.0,16.22,7.87,5.5,8.0,112.4,6.66,23.8,56.7,36.2,2160,1,1,3,1,1,1,3,1,2,2,3,7.5877714,3.4214025
Bread & Butter Invader 16mm,189.99,16.22,7.76,5.3,8.1,114.9,6.82,23.8,55.7,36.2,1918,2,1,3,1,2,2,3,1,0,2,0,7.9810977,4.2885747
Bread & Butter Loco 16mm,165.0,16.3,7.7,5.3,7.7,113.7,6.1,24.1,55.9,35.9,2091,1,2,2,1,0,2,1,3,1,2,1,9.0722885,3.7292867
Bread & Butter Shogun 16mm,189.99,16.5,7.38,5.5,8.2,121.6,6.13,24.5,57.3,35.3,2004,2,3,0,1,3,4,1,4,3,1,1,11.735145,3.7621326
Cheetah Predion E16 Edgeless 16mm,200.0,16.5,7.5,5.5,7.7,106.0,5.37,23.3,54.1,35.0,1556,2,3,1,1,0,0,0,0,0,0,0,10.132075,4.654072
Chorus Fire HX 16mm,174.99,16.22,7.76,5.5,7.7,109.3,6.14,23.7,58.7,38.1,2058,1,1,3,1,0,1,1,1,4,4,1,8.736998,2.595954
Chorus Shapeshifter EX 16mm,179.99,16.46,7.52,5.5,7.9,118.1,6.48,24.4,56.9,36.0,2157,1,2,2,1,1,3,2,3,2,2,2,9.624051,3.479699
Chorus Shapeshifter with 5 grams tungsten tape 16mm,189.99,16.3,7.75,5.3,8.4,117.8,7.0,23.7,57.2,35.9,2139,2,2,3,1,4,3,4,1,3,2,2,7.514813,3.9204526
Chorus Shapeshifter with 5 grams tungsten tape & 28-gram Slyce cap 16mm,189.99,16.3,7.75,5.3,9.3,121.3,7.11,21.8,57.3,36.4,2139,2,2,3,1,4,4,4,0,3,2,2,7.24597,4.412578
Chorus Shapeshifter-Original 16mm,189.99,16.3,7.75,5.3,8.1,116.7,6.61,24.1,56.8,36.0,2139,2,2,3,1,2,3,3,3,2,2,2,8.271722,3.7951806
Chorus Supercourt 16mm,119.99,16.0,8.0,6.25,8.0,107.0,6.0,23.1,56.8,35.4,2033,0,0,3,2,1,0,1,0,2,1,1,6.1210723,5.2445283
Core Reaction Pro Elongated 16mm,124.99,16.5,7.38,5.8,8.2,125.4,6.03,24.8,55.7,34.6,1863,0,3,0,2,3,4,1,4,0,0,0,11.513632,4.1483736
Core Reaction Pro Standard 16mm,124.99,15.75,8.0,5.13,8.2,111.7,7.25,23.8,54.8,34.7,1892,0,0,3,0,3,1,4,1,0,0,0,5.0817966,4.8619804
CRBN CRBN 1X 14mm,229.99,16.5,7.25,5.5,8.0,116.0,5.78,24.2,56.0,35.1,2244,3,3,0,1,1,2,0,3,1,0,4,10.308444,3.9686906
CRBN CRBN 2X 16mm,229.99,15.75,8.0,4.75,8.0,110.0,7.5,23.5,56.3,36.1,1975,3,0,3,0,1,1,4,1,1,2,1,5.1907744,4.5906477
CRBN TruFoam Genesis 1 14mm,279.99,16.5,7.35,5.5,7.8,124.0,5.83,24.9,58.3,36.9,2280,4,3,0,1,0,4,0,4,4,3,4,11.180938,1.9092569
CRBN TruFoam Genesis 2 14mm,279.99,16.0,7.85,5.25,8.2,112.9,6.76,23.8,57.9,37.2,2338,4,0,3,0,3,1,3,1,3,4,4,6.61717,3.5879471
CRBN TruFoam Genesis 3 14mm,279.99,16.5,7.5,5.3,8.4,124.9,6.37,24.6,58.3,36.7,2368,4,3,1,1,4,4,2,4,4,3,4,11.91998,2.3646202
Diadem Edge 18K 16mm,229.95,16.4,7.5,5.3,7.9,122.0,6.25,24.1,56.5,35.6,2304,3,2,1,1,1,4,2,3,1,1,4,9.589853,3.5622735
Diadem Hush 18mm,189.95,16.54,7.22,5.6,8.3,122.7,5.13,24.5,62.9,38.5,2776,2,4,0,2,4,4,0,4,4,4,4,10.672874,1.0710534
Diadem Icon V2 XL 13mm,199.95,16.0,7.6,5.25,8.2,125.0,5.69,24.5,55.5,35.7,1718,2,0,2,0,3,4,0,4,0,1,0,11.43238,5.020212
Diadem Warrior 19mm,229.95,16.4,7.4,5.3,8.6,133.0,7.25,24.7,55.9,35.8,1744,3,2,0,1,4,4,4,4,1,1,0,12.309921,3.8654838
Diadem Warrior BluCore Pro 14mm 14mm,289.95,16.34,7.4,5.7,7.9,109.6,5.76,23.2,56.8,37.6,1931,4,2,0,2,1,1,0,0,2,4,0,9.592335,2.6090782
Diadem Warrior BluCore Standard 19mm 19mm,289.95,16.46,7.6,5.7,8.3,118.5,6.59,23.7,56.1,35.8,1931,4,2,2,2,4,3,3,1,1,1,0,11.781305,4.3100333
Diller Wood Paddle 9mm,13.59,15.55,7.64,5.0,9.0,110.9,5.02,22.8,56.2,34.8,1167,0,0,2,0,4,1,0,0,1,0,0,10.807959,5.366892
Dymon Mayhem 16mm,199.99,16.5,7.5,4.25,7.8,110.6,6.31,23.8,57.4,36.4,2366,2,3,1,0,0,1,2,1,3,2,4,9.868605,1.8228995
Electrum Model E Elite 16mm,199.99,16.5,7.37,5.25,8.4,124.0,7.14,24.7,57.0,36.4,2028,2,3,0,0,4,4,4,4,2,2,1,12.212385,3.3850486
Electrum Model E Stealth 16mm,220.0,16.5,7.31,5.38,7.7,107.0,5.0,23.3,55.4,36.3,1810,3,3,0,1,0,0,0,0,0,2,0,9.901134,4.476206
Electrum Model E Stealth-with 0.5 oz. lead tape 16mm,220.0,16.5,7.31,5.38,8.2,109.0,6.1,23.2,56.3,35.7,1810,3,3,0,1,3,1,1,0,1,1,0,10.701262,4.7909636
Electrum Pro II 11mm,149.99,16.0,8.0,5.25,7.6,106.0,6.75,23.7,54.5,36.1,2089,0,0,3,0,0,0,3,1,0,2,1,5.0348387,3.8960025
Electrum Pro II Stealth 12mm,220.0,16.0,7.75,5.25,7.0,93.0,4.83,23.1,54.4,37.1,2204,3,0,3,0,0,0,0,0,0,3,3,4.9109206,3.0780275
Electrum Pro II Stealth-with 0.5 oz. lead tape 12mm,220.0,16.0,7.75,5.25,7.5,97.0,6.35,22.8,56.3,36.7,2204,3,0,3,0,0,0,2,0,1,3,3,5.166155,3.212201
Electrum Pro Stealth 12mm,220.0,15.6,8.3,5.0,7.3,92.0,5.63,22.5,53.9,36.8,1927,3,0,4,0,0,0,0,0,0,3,0,4.3864636,3.6202543
Electrum Pro Stealth-with 0.5 oz. lead tape 12mm,220.0,15.6,8.3,5.0,7.3,93.0,6.9,22.3,56.3,36.4,1927,3,0,4,0,0,0,4,0,1,2,0,4.457793,3.7087216
Engage Evolution Extreme V2.14 14mm,159.99,16.5,7.5,5.25,8.0,117.7,6.38,24.4,54.5,35.4,1915,1,3,1,0,1,3,2,3,0,1,0,11.228329,4.9710894
Engage Evolution Extreme V2.16 16mm,159.99,16.38,7.5,5.25,8.2,121.8,6.66,24.5,55.9,35.1,2082,1,2,1,0,3,4,3,4,1,0,1,11.948807,3.984745
Engage Pursuit EX 6.0 Maxx 16mm,259.99,16.0,8.0,5.0,8.0,115.6,7.43,24.5,55.5,36.0,1666,4,0,3,0,1,2,4,4,0,2,0,5.247472,4.860562
Engage Pursuit EX 6.0 Pro 16mm,259.99,16.0,8.0,5.0,8.1,114.7,7.32,23.5,56.3,37.0,2260,4,0,3,0,2,2,4,1,1,3,4,6.429333,4.101794
Engage Pursuit EX Pro 13mm,259.99,16.0,8.0,5.0,8.2,116.2,7.29,23.7,56.2,37.3,2366,4,0,3,0,3,2,4,1,1,4,4,6.4776044,4.1198955
Engage Pursuit MX 6.0 Maxx 16mm,199.99,16.5,7.5,5.75,7.8,116.2,5.8,24.2,57.4,35.9,1716,2,3,1,2,0,2,0,3,3,2,0,11.038206,4.2900553
Engage Pursuit MX 6.0 Pro 16mm,259.99,16.5,7.5,5.75,8.1,129.1,6.65,25.3,57.6,36.1,2258,4,3,1,2,2,4,3,4,3,2,4,12.005236,2.7338414
Engage Pursuit MX Pro 13mm,259.99,16.5,7.5,5.75,8.0,119.3,5.85,24.1,57.5,37.0,2264,4,3,1,2,1,3,1,3,3,3,4,10.637734,2.5027733
Engage Pursuit Pro 1 6.0-Light 16mm,259.99,16.5,7.5,5.88,7.7,115.2,5.75,23.7,57.7,36.1,2207,4,3,1,2,0,2,0,1,3,2,3,10.148125,2.8941617
Engage Pursuit Pro 1-Light 13mm,259.99,16.5,7.5,5.88,7.7,109.5,5.57,23.3,57.3,36.2,2178,4,3,1,2,0,1,0,0,3,2,3,9.869676,2.9569666
Engage Pursuit Pro Innovation 15mm,259.99,16.63,7.28,6.0,8.2,124.7,6.31,24.5,58.4,36.6,2155,4,4,0,2,3,4,2,4,4,3,2,11.387935,2.8325572
Ethos Dunamis 14mm,179.95,16.0,8.0,5.35,7.5,99.6,6.18,23.1,54.8,35.2,1678,1,0,3,1,0,0,1,0,0,0,0,4.5940676,3.7943676
Ethos Dunamis Pro 16mm,199.9,16.0,8.0,5.5,8.2,115.9,6.86,23.8,55.5,35.9,2120,2,0,3,1,3,2,3,1,0,2,2,5.8693795,4.545472
Franklin C45 Dynasty 14mm 14mm,229.99,16.46,7.52,5.6,7.9,117.6,6.0,24.4,57.5,37.1,2115,3,2,2,2,1,3,1,3,3,3,2,10.522689,2.224465
Franklin C45 Dynasty 16mm 16mm,229.99,16.46,7.52,5.6,7.8,115.3,5.85,24.4,57.2,36.8,2083,3,2,2,2,0,2,1,3,3,3,1,10.372403,2.4759357
Franklin C45 Hybrid 14mm 14mm,229.0,16.3,7.6,5.75,7.5,103.5,5.42,23.5,56.3,37.0,2204,3,2,2,2,0,0,0,1,1,3,3,9.573694,3.0023065
Franklin C45 Hybrid with 8.5 grams tungsten and 9 gram Flick weight 14mm,229.0,16.3,7.6,5.75,8.6,112.6,6.92,22.8,57.4,37.9,2204,3,2,2,2,4,1,4,0,3,4,3,7.6433578,3.7391272
Franklin C45 Tempo 14mm 14mm,229.99,15.83,7.83,5.0,7.8,102.7,6.45,23.1,56.8,37.2,2115,3,0,3,0,0,0,2,0,2,4,2,5.176262,3.2946606
Franklin C45 Tempo 16mm 16mm,229.99,15.83,7.83,5.0,7.7,102.9,6.39,23.2,56.7,36.9,2157,3,0,3,0,0,0,2,0,2,3,2,5.116851,3.284561
Franklin Tour Dynasty 16mm,149.99,16.5,7.5,5.6,9.2,138.7,7.45,24.6,57.4,35.0,2167,0,3,1,2,4,4,4,4,3,0,3,12.374117,3.5783
Franklin Tour Dynasty 14mm,149.99,16.5,7.5,5.6,8.2,126.0,6.6,24.7,56.6,36.1,2288,0,3,1,2,3,4,3,4,2,2,4,12.025882,2.7276182
Franklin Tour Tempo 16mm,149.99,15.9,8.0,5.0,8.9,122.0,7.5,23.5,57.0,36.1,2094,0,0,3,0,4,4,4,1,2,2,1,6.593273,4.2417016
Franklin Tour Tempo 14mm,149.99,15.9,8.0,5.0,8.5,116.3,7.13,23.4,56.5,36.5,2199,0,0,3,0,4,2,4,0,1,3,3,6.5756493,4.4003057
Franklin Tour Tempo 12mm,149.99,15.9,8.0,5.0,7.4,101.4,6.15,23.6,56.3,36.8,2252,0,0,3,0,0,0,1,1,1,3,4,5.121012,3.2210562
Franklin  Carbon STK 14mm,149.99,16.5,7.5,4.25,7.6,118.0,5.76,24.6,55.0,33.9,1251,0,3,1,0,0,3,0,4,0,0,0,11.357712,5.1671896
Friday Fever 16mm,99.0,16.5,7.5,5.5,7.8,115.1,5.74,23.9,57.8,37.0,2076,0,3,1,1,0,2,0,2,3,3,1,10.000306,2.1751964
Gamma Airbender 13mm,199.99,16.54,7.38,5.5,8.1,113.8,5.24,23.6,56.8,35.4,2107,2,4,0,1,2,2,0,1,2,1,2,10.2307,3.6572852
Gamma Airbender 16mm,199.99,16.5,7.38,5.38,8.5,115.3,5.57,23.3,56.7,34.8,1903,2,3,0,1,4,2,0,0,2,0,0,10.789713,4.9424
Gamma Airbender 10mm,199.99,16.54,7.38,5.5,8.1,111.2,5.08,23.5,56.1,36.0,1988,2,4,0,1,2,1,0,1,1,2,1,10.015167,3.9546251
Gamma Obsidian 10 10mm,159.99,16.38,7.63,5.75,8.0,118.3,5.77,24.4,56.0,35.8,1992,1,2,2,2,1,3,0,3,1,1,1,11.058737,3.8856757
Gamma Obsidian 13 13mm,159.99,16.38,7.63,5.75,7.9,112.2,6.0,23.8,56.2,35.6,1854,1,2,2,2,1,1,1,1,1,1,0,10.875302,4.4364247
Gamma Obsidian 16 16mm,159.99,16.38,7.63,5.75,8.1,119.6,6.46,24.5,56.7,35.1,1877,1,2,2,2,2,3,2,4,2,0,0,11.5647135,4.1372185
Gearbox CX14H Ultimate Power 14mm,249.99,15.6,8.0,5.38,8.5,107.0,5.78,22.0,52.4,33.8,1962,3,0,3,1,4,0,0,0,0,0,0,4.8097763,4.356357
Gearbox G2 Elongated 14mm,119.99,16.5,7.4,5.5,7.9,122.9,5.35,25.4,55.7,33.4,2030,0,3,0,1,1,4,0,4,0,0,1,10.53252,3.9422107
Gearbox G2 Integra 14mm,139.99,16.0,7.38,5.5,7.9,113.3,5.64,24.5,55.5,33.3,2113,0,0,0,1,1,1,0,4,0,0,2,10.332369,4.167139
Gearbox G2 Quad 14mm,99.99,15.88,8.0,4.75,7.9,108.0,6.23,23.7,54.6,34.1,2139,0,0,3,0,1,0,2,1,0,0,2,4.6354976,4.494389
Gearbox GX2 Elongated 16mm,269.99,16.61,7.36,5.5,7.9,118.8,5.9,25.0,57.8,36.5,2067,4,4,0,1,1,3,1,4,3,3,1,11.056044,2.2312608
Gearbox GX2 Hyper 16mm,269.99,15.91,7.99,5.5,8.1,109.1,6.14,24.3,57.4,36.8,2142,4,0,3,1,2,1,1,3,3,3,2,6.42464,3.3316824
Gearbox GX2 Integra 16mm,269.99,16.38,7.4,5.5,7.9,118.9,5.82,24.9,57.4,36.8,2083,4,2,0,1,1,3,0,4,3,3,1,10.956961,2.216895
Gearbox Pro Control Elongated 14mm,274.99,16.5,7.38,5.5,8.1,122.0,5.07,25.0,57.3,35.8,2130,4,3,0,1,2,4,0,4,3,1,2,10.808251,2.9672897
Gearbox Pro Control Integra 14mm,274.99,16.0,7.38,5.5,8.0,115.0,5.14,24.5,57.1,36.1,2091,4,0,0,1,1,2,0,4,2,2,1,10.423757,2.583363
Gearbox Pro Power Elongated 14mm,274.99,16.5,7.38,5.5,8.0,120.0,5.22,24.9,60.4,38.0,2062,4,3,0,1,1,3,0,4,4,4,1,10.885206,1.2252879
